content,summary
如何理解应用设计开发的重要性？,"一般而言，大多数最终用户和系统开发人员在系统上线，大量业务开始运行，出现反应速度慢之后，才会意识到系统优化的重要性。此时，对优化而言，已不是最佳时期。如前所述，系统优化应是包括系统设计、开发、产品上线、平台优化等的全过程，不同阶段的优化工作对全系统所带来的效益是不同的。下图是Oracle公司总结的不同阶段进行优化工作所带来的效益和代价变化图：   可见，在设计和开发阶段就全面考虑系统优化问题，带来的效益越明显，代价也越小。反之，效益更低，代价更大。   其中设计阶段包括的与优化相关的工作如下：   	业务规则的优化设计   	数据库结构的优化设计   	应用系统的优化设计   开发阶段与优化相关的工作主要包括：   	数据库操作方式的优化和调整   	访问路径的优化和调整   产品阶段能优化的工作主要与数据库系统和操作系统平台相关，包括：   	内存和CPU的优化和调整   	磁盘I/O和物理结构的设计和调整   	系统资源竞争的监测和调整   	操作系统平台的优化   本文档将重点在设计开发阶段的SQL编程规范方面提出建议。"
为什么说应用设计开发是重要的？,"一般而言，大多数最终用户和系统开发人员在系统上线，大量业务开始运行，出现反应速度慢之后，才会意识到系统优化的重要性。此时，对优化而言，已不是最佳时期。如前所述，系统优化应是包括系统设计、开发、产品上线、平台优化等的全过程，不同阶段的优化工作对全系统所带来的效益是不同的。下图是Oracle公司总结的不同阶段进行优化工作所带来的效益和代价变化图：   可见，在设计和开发阶段就全面考虑系统优化问题，带来的效益越明显，代价也越小。反之，效益更低，代价更大。   其中设计阶段包括的与优化相关的工作如下：   	业务规则的优化设计   	数据库结构的优化设计   	应用系统的优化设计   开发阶段与优化相关的工作主要包括：   	数据库操作方式的优化和调整   	访问路径的优化和调整   产品阶段能优化的工作主要与数据库系统和操作系统平台相关，包括：   	内存和CPU的优化和调整   	磁盘I/O和物理结构的设计和调整   	系统资源竞争的监测和调整   	操作系统平台的优化   本文档将重点在设计开发阶段的SQL编程规范方面提出建议。"
应用设计开发有哪些重要的方面需要注意？,"一般而言，大多数最终用户和系统开发人员在系统上线，大量业务开始运行，出现反应速度慢之后，才会意识到系统优化的重要性。此时，对优化而言，已不是最佳时期。如前所述，系统优化应是包括系统设计、开发、产品上线、平台优化等的全过程，不同阶段的优化工作对全系统所带来的效益是不同的。下图是Oracle公司总结的不同阶段进行优化工作所带来的效益和代价变化图：   可见，在设计和开发阶段就全面考虑系统优化问题，带来的效益越明显，代价也越小。反之，效益更低，代价更大。   其中设计阶段包括的与优化相关的工作如下：   	业务规则的优化设计   	数据库结构的优化设计   	应用系统的优化设计   开发阶段与优化相关的工作主要包括：   	数据库操作方式的优化和调整   	访问路径的优化和调整   产品阶段能优化的工作主要与数据库系统和操作系统平台相关，包括：   	内存和CPU的优化和调整   	磁盘I/O和物理结构的设计和调整   	系统资源竞争的监测和调整   	操作系统平台的优化   本文档将重点在设计开发阶段的SQL编程规范方面提出建议。"
如何提高应用设计开发的效率和质量？,"一般而言，大多数最终用户和系统开发人员在系统上线，大量业务开始运行，出现反应速度慢之后，才会意识到系统优化的重要性。此时，对优化而言，已不是最佳时期。如前所述，系统优化应是包括系统设计、开发、产品上线、平台优化等的全过程，不同阶段的优化工作对全系统所带来的效益是不同的。下图是Oracle公司总结的不同阶段进行优化工作所带来的效益和代价变化图：   可见，在设计和开发阶段就全面考虑系统优化问题，带来的效益越明显，代价也越小。反之，效益更低，代价更大。   其中设计阶段包括的与优化相关的工作如下：   	业务规则的优化设计   	数据库结构的优化设计   	应用系统的优化设计   开发阶段与优化相关的工作主要包括：   	数据库操作方式的优化和调整   	访问路径的优化和调整   产品阶段能优化的工作主要与数据库系统和操作系统平台相关，包括：   	内存和CPU的优化和调整   	磁盘I/O和物理结构的设计和调整   	系统资源竞争的监测和调整   	操作系统平台的优化   本文档将重点在设计开发阶段的SQL编程规范方面提出建议。"
应用设计开发的重要性表现在哪些方面？,"一般而言，大多数最终用户和系统开发人员在系统上线，大量业务开始运行，出现反应速度慢之后，才会意识到系统优化的重要性。此时，对优化而言，已不是最佳时期。如前所述，系统优化应是包括系统设计、开发、产品上线、平台优化等的全过程，不同阶段的优化工作对全系统所带来的效益是不同的。下图是Oracle公司总结的不同阶段进行优化工作所带来的效益和代价变化图：   可见，在设计和开发阶段就全面考虑系统优化问题，带来的效益越明显，代价也越小。反之，效益更低，代价更大。   其中设计阶段包括的与优化相关的工作如下：   	业务规则的优化设计   	数据库结构的优化设计   	应用系统的优化设计   开发阶段与优化相关的工作主要包括：   	数据库操作方式的优化和调整   	访问路径的优化和调整   产品阶段能优化的工作主要与数据库系统和操作系统平台相关，包括：   	内存和CPU的优化和调整   	磁盘I/O和物理结构的设计和调整   	系统资源竞争的监测和调整   	操作系统平台的优化   本文档将重点在设计开发阶段的SQL编程规范方面提出建议。"
20/80规则具体是指什么？,"如同在IT的众多领域所呈现的规律一样，在涉及数据库系统质量特别是性能问题上，也体现了一种20/80定律。根据Oracle公司经验，这种20/80定律体现在如下方面：   	应用设计对系统性能的影响能占到80%，而数据库体系结构的设计、数据库系统参数调整、操作系统参数的调整等系统方面因素，只占到20%。   	80%的性能问题是由20%的应用导致的。如少量大表的全表扫描导致的性能瓶颈。并不是应用一有问题，就一定要对现有数据库结构大卸八块，应用推倒重来。   	80%的性能问题可以由20%的优化技术所解决。如简单的索引策略，执行路径分析等，能解决绝大部分性能问题。"
20/80规则在实际生活中的应用是怎样的？,"如同在IT的众多领域所呈现的规律一样，在涉及数据库系统质量特别是性能问题上，也体现了一种20/80定律。根据Oracle公司经验，这种20/80定律体现在如下方面：   	应用设计对系统性能的影响能占到80%，而数据库体系结构的设计、数据库系统参数调整、操作系统参数的调整等系统方面因素，只占到20%。   	80%的性能问题是由20%的应用导致的。如少量大表的全表扫描导致的性能瓶颈。并不是应用一有问题，就一定要对现有数据库结构大卸八块，应用推倒重来。   	80%的性能问题可以由20%的优化技术所解决。如简单的索引策略，执行路径分析等，能解决绝大部分性能问题。"
如何理解20/80规则的原理？,"如同在IT的众多领域所呈现的规律一样，在涉及数据库系统质量特别是性能问题上，也体现了一种20/80定律。根据Oracle公司经验，这种20/80定律体现在如下方面：   	应用设计对系统性能的影响能占到80%，而数据库体系结构的设计、数据库系统参数调整、操作系统参数的调整等系统方面因素，只占到20%。   	80%的性能问题是由20%的应用导致的。如少量大表的全表扫描导致的性能瓶颈。并不是应用一有问题，就一定要对现有数据库结构大卸八块，应用推倒重来。   	80%的性能问题可以由20%的优化技术所解决。如简单的索引策略，执行路径分析等，能解决绝大部分性能问题。"
20/80规则存在的意义是什么？,"如同在IT的众多领域所呈现的规律一样，在涉及数据库系统质量特别是性能问题上，也体现了一种20/80定律。根据Oracle公司经验，这种20/80定律体现在如下方面：   	应用设计对系统性能的影响能占到80%，而数据库体系结构的设计、数据库系统参数调整、操作系统参数的调整等系统方面因素，只占到20%。   	80%的性能问题是由20%的应用导致的。如少量大表的全表扫描导致的性能瓶颈。并不是应用一有问题，就一定要对现有数据库结构大卸八块，应用推倒重来。   	80%的性能问题可以由20%的优化技术所解决。如简单的索引策略，执行路径分析等，能解决绝大部分性能问题。"
20/80规则如何在企业管理中得到应用和实施？,"如同在IT的众多领域所呈现的规律一样，在涉及数据库系统质量特别是性能问题上，也体现了一种20/80定律。根据Oracle公司经验，这种20/80定律体现在如下方面：   	应用设计对系统性能的影响能占到80%，而数据库体系结构的设计、数据库系统参数调整、操作系统参数的调整等系统方面因素，只占到20%。   	80%的性能问题是由20%的应用导致的。如少量大表的全表扫描导致的性能瓶颈。并不是应用一有问题，就一定要对现有数据库结构大卸八块，应用推倒重来。   	80%的性能问题可以由20%的优化技术所解决。如简单的索引策略，执行路径分析等，能解决绝大部分性能问题。"
